huc12_id,year,pscutot_mgd
060101020305,2009,0.033430905
060101020305,2010,0.04423263
060101020305,2011,0.046947345
060101020305,2012,0.046777567
060101020305,2013,0.040314315
060101020305,2014,0.041374222
060101020305,2015,0.042984308
060101020305,2016,0.044262999
060101020305,2017,0.042951093
060101020305,2018,0.038029063
060101020305,2019,0.040705778
060101020305,2020,0.037181399
060101020306,2009,0.007448769
060101020306,2010,0.008852508
060101020306,2011,0.00980488
060101020306,2012,0.00942631
060101020306,2013,0.008398308
060101020306,2014,0.008532565
060101020306,2015,0.009125987
060101020306,2016,0.009469461
060101020306,2017,0.009201934
060101020306,2018,0.007641889
060101020306,2019,0.009119613
060101020306,2020,0.008310172
060101020307,2009,0.0
060101020307,2010,0.0
060101020307,2011,0.0
060101020307,2012,0.0
060101020307,2013,0.0
060101020307,2014,0.0
060101020307,2015,0.0
060101020307,2016,0.0
060101020307,2017,0.0
060101020307,2018,0.0
060101020307,2019,0.0
060101020307,2020,0.0
060101020401,2009,0.017803608
060101020401,2010,0.022650975
060101020401,2011,0.022982126
060101020401,2012,0.023542526
060101020401,2013,0.020661038
060101020401,2014,0.022392282
060101020401,2015,0.024399722
060101020401,2016,0.025768779
060101020401,2017,0.022979328
060101020401,2018,0.021367395
060101020401,2019,0.022831662
060101020401,2020,0.020385969
060101020402,2009,0.098250708
060101020402,2010,0.125001309
060101020402,2011,0.126828796
060101020402,2012,0.129921411
060101020402,2013,0.114019673
060101020402,2014,0.123573692
060101020402,2015,0.134651917
060101020402,2016,0.142207174
060101020402,2017,0.126813353
060101020402,2018,0.117917765
060101020402,2019,0.125998445
060101020402,2020,0.112501685
060101020403,2009,0.0
060101020403,2010,0.0
060101020403,2011,0.0
060101020403,2012,0.0
060101020403,2013,0.0
060101020403,2014,0.0
060101020403,2015,0.0
060101020403,2016,0.0
060101020403,2017,0.0
060101020403,2018,0.0
060101020403,2019,0.0
060101020403,2020,0.0
060101020404,2009,0.000598705
060101020404,2010,0.000761714
060101020404,2011,0.00077285
060101020404,2012,0.000791696
060101020404,2013,0.000694796
060101020404,2014,0.000753015
060101020404,2015,0.000820522
060101020404,2016,0.000866561
060101020404,2017,0.000772756
060101020404,2018,0.00071855
060101020404,2019,0.00076779
060101020404,2020,0.000685546
060101020405,2009,0.0
060101020405,2010,0.0
060101020405,2011,0.0
060101020405,2012,0.0
060101020405,2013,0.0
060101020405,2014,0.0
060101020405,2015,0.0
060101020405,2016,0.0
060101020405,2017,0.0
060101020405,2018,0.0
060101020405,2019,0.0
060101020405,2020,0.0
060101020501,2009,0.278386766
060101020501,2010,0.341788773
060101020501,2011,0.362920543
060101020501,2012,0.370660216
060101020501,2013,0.323641469
060101020501,2014,0.345818857
060101020501,2015,0.359306741
060101020501,2016,0.380420002
060101020501,2017,0.359696889
060101020501,2018,0.341899443
060101020501,2019,0.356224101
060101020501,2020,0.333438993
060101020502,2009,0.37465681
060101020502,2010,0.475629401
060101020502,2011,0.483930068
060101020502,2012,0.495637642
060101020502,2013,0.434836139
060101020502,2014,0.470859692
060101020502,2015,0.511609414
060101020502,2016,0.540395126
060101020502,2017,0.483605694
060101020502,2018,0.450302837
060101020502,2019,0.480401062
060101020502,2020,0.43022472
060101020601,2009,0.0619376
060101020601,2010,0.078194633
060101020601,2011,0.080127564
060101020601,2012,0.082027085
060101020601,2013,0.071906527
060101020601,2014,0.077689907
060101020601,2015,0.083797445
060101020601,2016,0.088545914
060101020601,2017,0.079962184
060101020601,2018,0.074716949
060101020601,2019,0.079391499
060101020601,2020,0.07163966
060101020703,2009,0.498065115
060101020703,2010,0.575742341
060101020703,2011,0.623490406
060101020703,2012,0.641832153
060101020703,2013,0.562514048
060101020703,2014,0.625191788
060101020703,2015,0.634994591
060101020703,2016,0.674434651
060101020703,2017,0.611379291
060101020703,2018,0.554973577
060101020703,2019,0.607276389
060101020703,2020,0.541546966
060101040102,2009,0.00299181
060101040102,2010,0.004436572
060101040102,2011,0.003810671
060101040102,2012,0.0039693
060101040102,2013,0.003495729
060101040102,2014,0.003856025
060101040102,2015,0.004849554
060101040102,2016,0.005032372
060101040102,2017,0.003657392
060101040102,2018,0.003233956
060101040102,2019,0.003434285
060101040102,2020,0.002879117
060102050101,2009,0.041018754
060102050101,2010,0.048498493
060102050101,2011,0.060513567
060102050101,2012,0.062771306
060102050101,2013,0.054690658
060102050101,2014,0.056337338
060102050101,2015,0.050611621
060102050101,2016,0.05121376
060102050101,2017,0.049360032
060102050101,2018,0.045555163
060102050101,2019,0.051303607
060102050101,2020,0.044319511
060102050102,2009,0.014175078
060102050102,2010,0.017401265
060102050102,2011,0.018998973
060102050102,2012,0.018821307
060102050102,2013,0.016934763
060102050102,2014,0.017272838
060102050102,2015,0.017129752
060102050102,2016,0.01865724
060102050102,2017,0.016736839
060102050102,2018,0.015384603
060102050102,2019,0.016753377
060102050102,2020,0.01457872
060102050103,2009,0.002593661
060102050103,2010,0.003183967
060102050103,2011,0.003476305
060102050103,2012,0.003443797
060102050103,2013,0.00309861
060102050103,2014,0.003160468
060102050103,2015,0.003134288
060102050103,2016,0.003413777
060102050103,2017,0.003062395
060102050103,2018,0.002814972
060102050103,2019,0.003065421
060102050103,2020,0.002667517
