0. Maximum Updated Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.0 Updated Date Label (From Pipeline job date),,,,,,,,,,,,,,,
Row Labels,,,,,,,,,,,,,,,
2026-01-02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.1 General (Recorded Date),,,,,,,,,,,,,,,
LATEST_DATE,LATEST INDEX,,,,,,,,,,,,,,
12/31/25,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.2 By Stage,,,,,,,,,,,,,,,
Row Labels,LATEST_DATE,LATEST INDEX,INDEX STAGE,FINAL ROW,,,,,,,,,,,
Cancelled,6/30/25,1,16,0.20 GW,0.97 GW,0.20 GW,0.44 GW,0.13 M sqft,3.07 M sqft,0.13 M sqft,0.63 M sqft,,,,
Cancelled Total,,16,,0.97 GW,,0.06 GW,,3.07 M sqft,,0.24 M sqft,,,,,
Construction,8/31/24,82,82,5.18 GW,5.18 GW,0.06 GW,0.06 GW,27.85 M sqft,27.85 M sqft,0.35 M sqft,0.35 M sqft,,,,
Construction,9/30/24,128,210,7.15 GW,12.33 GW,0.06 GW,0.12 GW,33.36 M sqft,61.21 M sqft,0.3 M sqft,0.65 M sqft,,,,
Construction,10/31/24,40,250,2.48 GW,14.81 GW,0.06 GW,0.19 GW,12.1 M sqft,73.32 M sqft,0.3 M sqft,0.95 M sqft,,,,
Construction,11/30/24,62,312,3.61 GW,18.42 GW,0.06 GW,0.25 GW,14.97 M sqft,88.29 M sqft,0.25 M sqft,1.2 M sqft,,,,
Construction,12/31/24,39,351,4.48 GW,22.90 GW,0.11 GW,0.36 GW,12.66 M sqft,100.95 M sqft,0.32 M sqft,1.52 M sqft,,,,
Construction,1/31/25,35,386,2.40 GW,25.31 GW,0.07 GW,0.43 GW,9.48 M sqft,110.43 M sqft,0.3 M sqft,1.82 M sqft,,,,
Construction,2/28/25,19,405,1.10 GW,26.40 GW,0.07 GW,0.50 GW,4.13 M sqft,114.56 M sqft,0.29 M sqft,2.11 M sqft,,,,
Construction,3/31/25,18,423,1.14 GW,27.55 GW,0.06 GW,0.56 GW,3.93 M sqft,118.49 M sqft,0.28 M sqft,2.39 M sqft,,,,
Construction,4/30/25,18,441,1.89 GW,29.43 GW,0.11 GW,0.67 GW,2.39 M sqft,120.88 M sqft,0.3 M sqft,2.69 M sqft,,,,
Construction,5/31/25,12,453,0.73 GW,30.17 GW,0.06 GW,0.74 GW,3.83 M sqft,124.71 M sqft,0.35 M sqft,3.04 M sqft,,,,
Construction,6/30/25,50,503,2.85 GW,33.02 GW,0.06 GW,0.79 GW,8.98 M sqft,133.69 M sqft,0.2 M sqft,3.24 M sqft,,,,
Construction,7/31/25,20,523,1.37 GW,34.39 GW,0.07 GW,0.86 GW,4.43 M sqft,138.11 M sqft,0.26 M sqft,3.5 M sqft,,,,
Construction,8/31/25,20,543,2.38 GW,36.78 GW,0.14 GW,1.00 GW,7.11 M sqft,145.22 M sqft,0.55 M sqft,4.05 M sqft,,,,
Construction,9/30/25,17,560,0.82 GW,37.60 GW,0.05 GW,1.06 GW,2.66 M sqft,147.88 M sqft,0.38 M sqft,4.43 M sqft,,,,
Construction,10/31/25,30,590,1.87 GW,39.46 GW,0.07 GW,1.12 GW,5.97 M sqft,153.85 M sqft,0.27 M sqft,4.7 M sqft,,,,
Construction,11/30/25,22,612,1.48 GW,40.94 GW,0.08 GW,1.20 GW,3.75 M sqft,157.6 M sqft,0.34 M sqft,5.04 M sqft,,,,
Construction,12/31/25,12,624,0.69 GW,41.63 GW,0.06 GW,1.26 GW,2.33 M sqft,159.94 M sqft,0.29 M sqft,5.33 M sqft,,,,
Construction Total,,624,,41.63 GW,,0.07 GW,,159.94 M sqft,,0.3 M sqft,,,,,
Delayed,8/31/24,7,7,0.46 GW,0.46 GW,0.07 GW,0.07 GW,2.28 M sqft,2.28 M sqft,0.33 M sqft,0.33 M sqft,,,,
Delayed,9/30/24,12,19,0.68 GW,1.14 GW,0.06 GW,0.12 GW,3.38 M sqft,5.66 M sqft,0.28 M sqft,0.61 M sqft,,,,
Delayed,10/31/24,5,24,0.28 GW,1.42 GW,0.06 GW,0.18 GW,1.27 M sqft,6.93 M sqft,0.25 M sqft,0.86 M sqft,,,,
Delayed,11/30/24,4,28,0.18 GW,1.60 GW,0.04 GW,0.22 GW,1.28 M sqft,8.2 M sqft,0.32 M sqft,1.18 M sqft,,,,
Delayed,1/31/25,3,31,0.16 GW,1.76 GW,0.05 GW,0.28 GW,,8.2 M sqft,,1.18 M sqft,,,,
Delayed,3/31/25,3,34,0.25 GW,2.01 GW,0.08 GW,0.36 GW,0.9 M sqft,9.1 M sqft,0.3 M sqft,1.48 M sqft,,,,
Delayed,5/31/25,12,46,0.74 GW,2.74 GW,0.06 GW,0.42 GW,5.35 M sqft,14.45 M sqft,0.45 M sqft,1.93 M sqft,,,,
Delayed,10/31/25,4,50,0.23 GW,2.97 GW,0.06 GW,0.48 GW,1.8 M sqft,16.25 M sqft,0.45 M sqft,2.38 M sqft,,,,
Delayed Total,,50,,2.97 GW,,0.06 GW,,16.25 M sqft,,0.35 M sqft,,,,,
Not Approved/Withdrawn,9/30/24,37,37,1.80 GW,1.80 GW,0.06 GW,0.06 GW,5.58 M sqft,5.58 M sqft,0.19 M sqft,0.19 M sqft,,,,
Not Approved/Withdrawn,11/30/24,4,41,0.27 GW,2.07 GW,0.07 GW,0.13 GW,1 M sqft,6.58 M sqft,0.25 M sqft,0.44 M sqft,,,,
Not Approved/Withdrawn,12/31/24,18,59,1.14 GW,3.21 GW,0.06 GW,0.19 GW,7.19 M sqft,13.77 M sqft,0.4 M sqft,0.84 M sqft,,,,
Not Approved/Withdrawn,1/31/25,36,95,1.19 GW,4.40 GW,0.06 GW,0.25 GW,7.05 M sqft,20.82 M sqft,0.35 M sqft,1.19 M sqft,,,,
Not Approved/Withdrawn,2/28/25,2,97,0.07 GW,4.46 GW,0.07 GW,0.32 GW,0.45 M sqft,21.27 M sqft,0.45 M sqft,1.64 M sqft,,,,
Not Approved/Withdrawn,3/31/25,9,106,0.37 GW,4.83 GW,0.04 GW,0.36 GW,0.63 M sqft,21.9 M sqft,0.16 M sqft,1.79 M sqft,,,,
Not Approved/Withdrawn,4/30/25,23,129,1.67 GW,6.50 GW,0.10 GW,0.46 GW,7.9 M sqft,29.8 M sqft,0.46 M sqft,2.26 M sqft,,,,
Not Approved/Withdrawn,5/31/25,62,191,3.93 GW,10.43 GW,0.06 GW,0.52 GW,26.15 M sqft,55.95 M sqft,0.43 M sqft,2.69 M sqft,,,,
Not Approved/Withdrawn,6/30/25,26,217,1.74 GW,12.17 GW,0.07 GW,0.59 GW,6.5 M sqft,62.45 M sqft,0.25 M sqft,2.94 M sqft,,,,
Not Approved/Withdrawn,7/31/25,8,225,0.42 GW,12.59 GW,0.08 GW,0.67 GW,2.43 M sqft,64.88 M sqft,0.49 M sqft,3.43 M sqft,,,,
Not Approved/Withdrawn,8/31/25,16,241,0.89 GW,13.48 GW,0.06 GW,0.73 GW,1.8 M sqft,66.68 M sqft,0.3 M sqft,3.73 M sqft,,,,
