state,year,sector,electricity_usage
CA,2004,Commercial,118952885
CA,2004,Industrial,48811586
CA,2004,Residential,83361251
CA,2005,Commercial,117550525
CA,2005,Industrial,50242289
CA,2005,Residential,85610410
CA,2006,Commercial,121255049
CA,2006,Industrial,50990893
CA,2006,Residential,89835749
CA,2007,Commercial,123690309
CA,2007,Industrial,50538234
CA,2007,Residential,89158461
CA,2008,Commercial,125026317
CA,2008,Industrial,51031270
CA,2008,Residential,91230818
CA,2009,Commercial,121105407
CA,2009,Industrial,47835152
CA,2009,Residential,89798789
CA,2010,Commercial,121151697
CA,2010,Industrial,49301025
CA,2010,Residential,87256946
CA,2011,Commercial,122780917
CA,2011,Industrial,49935776
CA,2011,Residential,88398416
CA,2012,Commercial,121791536
CA,2012,Industrial,46951714
CA,2012,Residential,90109995
CA,2013,Commercial,116857853
CA,2013,Industrial,54396999
CA,2013,Residential,89241934
CA,2014,Commercial,119494062
CA,2014,Industrial,52898430
CA,2014,Residential,89360680
CA,2015,Commercial,118384093
CA,2015,Industrial,52562210
CA,2015,Residential,89386373
CA,2016,Commercial,116774684
CA,2016,Industrial,50979124
CA,2016,Residential,88311069
CA,2017,Commercial,117682380
CA,2017,Industrial,48627406
CA,2017,Residential,90123505
CA,2018,Commercial,115786492
CA,2018,Industrial,49587913
CA,2018,Residential,89099985
CA,2019,Commercial,114279373
CA,2019,Industrial,47807729
CA,2019,Residential,87523987
CA,2020,Commercial,107006347
CA,2020,Industrial,47630882
CA,2020,Residential,94934563
CA,2021,Commercial,108761594
CA,2021,Industrial,47583329
CA,2021,Residential,90284143
CA,2022,Commercial,114141384
CA,2022,Industrial,47500423
CA,2022,Residential,89542208
CA,2023,Commercial,112935566
CA,2023,Industrial,42998557
CA,2023,Residential,82820898
CA,2024,Commercial,115125595
CA,2024,Industrial,44025912
CA,2024,Residential,85850538
CO,1990,Commercial,13553026
CO,1990,Industrial,6586859
CO,1990,Residential,9787280
CO,1991,Commercial,13741501
CO,1991,Industrial,6748179
CO,1991,Residential,10099387
CO,1992,Commercial,13897582
CO,1992,Industrial,6848997
CO,1992,Residential,10215713
CO,1993,Commercial,14422396
CO,1993,Industrial,7024007
CO,1993,Residential,10655734
CO,1994,Commercial,12953194
CO,1994,Industrial,9620137
CO,1994,Residential,10938748
CO,1995,Commercial,13419623
CO,1995,Industrial,9706459
CO,1995,Residential,11306705
CO,1996,Commercial,14239275
CO,1996,Industrial,9947015
CO,1996,Residential,11870577
CO,1997,Commercial,14600180
CO,1997,Industrial,10297368
CO,1997,Residential,12260908
CO,1998,Commercial,15959287
CO,1998,Industrial,9998404
CO,1998,Residential,12651635
CO,1999,Commercial,17006132
CO,1999,Industrial,9520928
CO,1999,Residential,13130575
CO,2000,Commercial,17989134
CO,2000,Industrial,9954783
CO,2000,Residential,14028934
CO,2001,Commercial,17889638
CO,2001,Industrial,10918384
CO,2001,Residential,14470251
CO,2002,Commercial,18438437
CO,2002,Industrial,10672226
CO,2002,Residential,15424846
CO,2003,Commercial,19656729
CO,2003,Industrial,11075619
CO,2003,Residential,15724839
CO,2004,Commercial,19497956
CO,2004,Industrial,11675139
CO,2004,Residential,15532168
CO,2005,Commercial,19845958
CO,2005,Industrial,12051510
CO,2005,Residential,16436381
CO,2006,Commercial,20152638
CO,2006,Industrial,12604819
CO,2006,Residential,16951534
CO,2007,Commercial,20507762
CO,2007,Industrial,13112913
CO,2007,Residential,17634182
CO,2008,Commercial,20550916
CO,2008,Industrial,13822482
CO,2008,Residential,17720491
CO,2009,Commercial,20008463
CO,2009,Industrial,13571148
CO,2009,Residential,17412630
CO,2010,Commercial,19597222
CO,2010,Industrial,15171843
CO,2010,Residential,18102386
CO,2011,Commercial,19889231
CO,2011,Industrial,15241814
CO,2011,Residential,18276799
CO,2012,Commercial,19997226
CO,2012,Industrial,15415235
CO,2012,Residential,18220365
CO,2013,Commercial,20098218
CO,2013,Industrial,14752859
CO,2013,Residential,18528908
CO,2014,Commercial,20129360
CO,2014,Industrial,15110188
CO,2014,Residential,18092932
CO,2015,Commercial,20408085
CO,2015,Industrial,15258761
CO,2015,Residential,18384936
CO,2016,Commercial,20800136
CO,2016,Industrial,15103434
CO,2016,Residential,18833722
CO,2017,Commercial,20640793
CO,2017,Industrial,15501238
CO,2017,Residential,18615000
CO,2018,Commercial,21023300
CO,2018,Industrial,16047258
CO,2018,Residential,19286952
CO,2019,Commercial,21111259
CO,2019,Industrial,15891020
CO,2019,Residential,19404743
CO,2020,Commercial,20042218
CO,2020,Industrial,15431465
CO,2020,Residential,20482502
CO,2021,Commercial,20584470
CO,2021,Industrial,15053158
CO,2021,Residential,20625005
CO,2022,Commercial,21059419
CO,2022,Industrial,15018320
CO,2022,Residential,20593942
CO,2023,Commercial,20697728
CO,2023,Industrial,14778848
CO,2023,Residential,19999333
CO,2024,Commercial,21171639
CO,2024,Industrial,14891887
CO,2024,Residential,20693690
CT,1990,Commercial,10342476
CT,1990,Industrial,6099933
CT,1990,Residential,10375882
CT,1991,Commercial,10544097
CT,1991,Industrial,5822464
CT,1991,Residential,10440510
CT,1992,Commercial,10484811
CT,1992,Industrial,5779536
CT,1992,Residential,10496045
CT,1993,Commercial,10676841
CT,1993,Industrial,5597348
CT,1993,Residential,10596641
CT,1994,Commercial,10844625
CT,1994,Industrial,5916930
CT,1994,Residential,10898426
CT,1995,Commercial,10926399
CT,1995,Industrial,5913391
CT,1995,Residential,10759880
CT,1996,Commercial,11171958
CT,1996,Industrial,5928241
CT,1996,Residential,10942903
CT,1997,Commercial,11278272
CT,1997,Industrial,5919169
CT,1997,Residential,10858915
CT,1998,Commercial,11683481
CT,1998,Industrial,5837521
CT,1998,Residential,10934821
CT,1999,Commercial,11833601
CT,1999,Industrial,5835522
CT,1999,Residential,11618971
CT,2000,Commercial,11932359
CT,2000,Industrial,5810692
CT,2000,Residential,11645484
CT,2001,Commercial,12442208
CT,2001,Industrial,5572234
CT,2001,Residential,11974617
CT,2002,Commercial,12614039
CT,2002,Industrial,5370339
CT,2002,Residential,12472813
CT,2003,Commercial,13093634
CT,2003,Industrial,5365918
CT,2003,Residential,13178336
CT,2004,Commercial,13454655
CT,2004,Industrial,5358497
CT,2004,Residential,13211390
