huc12_id,year,pswdtot_mgd
060101010403,2009,0.034366228
060101010403,2010,0.038041282
060101010403,2011,0.037608735
060101010403,2012,0.037981692
060101010403,2013,0.03721481
060101010403,2014,0.037940399
060101010403,2015,0.039291134
060101010403,2016,0.040648301
060101010403,2017,0.036647775
060101010403,2018,0.037658255
060101010403,2019,0.03573286
060101010403,2020,0.035630113
060101010404,2000,1.079291489
060101010404,2001,1.085390584
060101010404,2002,1.12371123
060101010404,2003,1.113711611
060101010404,2004,1.103485639
060101010404,2005,1.086978236
060101010404,2006,1.110037989
060101010404,2007,1.074320107
060101010404,2008,1.087805967
060101010404,2009,1.011773971
060101010404,2010,1.119159608
060101010404,2011,1.106079679
060101010404,2012,1.116949593
060101010404,2013,1.093966581
060101010404,2014,1.11549226
060101010404,2015,1.155025984
060101010404,2016,1.194716123
060101010404,2017,1.077614178
060101010404,2018,1.107091904
060101010404,2019,1.050380762
060101010404,2020,1.047202261
060101020101,2000,0.0
060101020101,2001,0.0
060101020101,2002,0.0
060101020101,2003,0.0
060101020101,2004,0.0
060101020101,2005,0.0
060101020101,2006,0.0
060101020101,2007,0.0
060101020101,2008,0.0
060101020101,2009,0.0
060101020101,2010,0.0
060101020101,2011,0.0
060101020101,2012,0.0
060101020101,2013,0.0
060101020101,2014,0.0
060101020101,2015,0.0
060101020101,2016,0.0
060101020101,2017,0.0
060101020101,2018,0.0
060101020101,2019,0.0
060101020101,2020,0.0
060101020102,2000,0.198244067
060101020102,2001,0.196208266
060101020102,2002,0.197074385
060101020102,2003,0.188309145
060101020102,2004,0.182382329
060101020102,2005,0.194693147
060101020102,2006,0.189854232
060101020102,2007,0.194556511
060101020102,2008,0.193539818
060101020102,2009,0.170849215
060101020102,2010,0.179852823
060101020102,2011,0.175678066
060101020102,2012,0.175427119
060101020102,2013,0.172809432
060101020102,2014,0.174086614
060101020102,2015,0.16590587
060101020102,2016,0.167344133
060101020102,2017,0.166713794
060101020102,2018,0.169907229
060101020102,2019,0.169073351
060101020102,2020,0.164688352
060101020103,2000,0.0
060101020103,2001,0.0
060101020103,2002,0.0
060101020103,2003,0.0
060101020103,2004,0.0
060101020103,2005,0.0
060101020103,2006,0.0
060101020103,2007,0.0
060101020103,2008,0.0
060101020103,2009,0.0
060101020103,2010,0.0
060101020103,2011,0.0
060101020103,2012,0.0
060101020103,2013,0.0
060101020103,2014,0.0
060101020103,2015,0.0
060101020103,2016,0.0
060101020103,2017,0.0
060101020103,2018,0.0
060101020103,2019,0.0
060101020103,2020,0.0
060101020201,2000,0.0
060101020201,2001,0.0
060101020201,2002,0.0
060101020201,2003,0.0
060101020201,2004,0.0
060101020201,2005,0.0
060101020201,2006,0.0
060101020201,2007,0.0
060101020201,2008,0.0
060101020201,2009,0.0
060101020201,2010,0.0
060101020201,2011,0.0
060101020201,2012,0.0
060101020201,2013,0.0
060101020201,2014,0.0
060101020201,2015,0.0
060101020201,2016,0.0
060101020201,2017,0.0
060101020201,2018,0.0
060101020201,2019,0.0
