huc12_id,year,irrwdtot_mgd
020802060301,2007,0.0
020802060301,2008,0.0
020802060301,2009,0.0
020802060301,2010,0.0
020802060301,2011,0.0
020802060301,2012,0.0
020802060301,2013,0.0
020802060301,2014,0.0
020802060301,2015,0.0
020802060301,2016,0.0
020802060301,2017,0.0
020802060301,2018,0.0
020802060301,2019,0.0
020802060301,2020,0.0
020802060302,2000,0.038839628
020802060302,2001,0.077848951
020802060302,2002,0.107692611
020802060302,2003,0.06441309
020802060302,2004,0.0
020802060302,2005,0.21331697
020802060302,2006,0.0
020802060302,2007,0.145842288
020802060302,2008,0.080640331
020802060302,2009,0.114994523
020802060302,2010,0.0
020802060302,2011,0.120901822
020802060302,2012,0.508836555
020802060302,2013,0.191627956
020802060302,2014,0.3598628
020802060302,2015,0.21444774
020802060302,2016,0.238719096
020802060302,2017,0.199586984
020802060302,2018,0.140210929
020802060302,2019,0.272021427
020802060302,2020,0.125704653
020802060303,2000,0.0
020802060303,2001,0.002963353
020802060303,2002,0.003472504
020802060303,2003,0.002133674
020802060303,2004,0.0
020802060303,2005,0.0
020802060303,2006,0.0
020802060303,2007,0.0
020802060303,2008,0.0
020802060303,2009,0.0
020802060303,2010,0.0
020802060303,2011,0.0
020802060303,2012,0.0
020802060303,2013,0.0
020802060303,2014,0.0
020802060303,2015,0.0
020802060303,2016,0.0
020802060303,2017,0.0
020802060303,2018,0.0
020802060303,2019,0.0
020802060303,2020,0.0
020802060304,2000,0.0
020802060304,2001,0.007410175
020802060304,2002,0.0
020802060304,2003,0.0
020802060304,2004,0.0
020802060304,2005,0.0
020802060304,2006,0.0
020802060304,2007,0.0
020802060304,2008,0.0
020802060304,2009,0.0
020802060304,2010,0.0
020802060304,2011,0.0
020802060304,2012,0.0
020802060304,2013,0.0
020802060304,2014,0.0
020802060304,2015,0.0
020802060304,2016,0.0
020802060304,2017,0.0
020802060304,2018,0.0
020802060304,2019,0.0
020802060304,2020,0.0
020802060401,2000,0.0
020802060401,2001,0.0
020802060401,2002,0.0
020802060401,2003,0.0
020802060401,2004,0.0
020802060401,2005,0.0
020802060401,2006,0.0
020802060401,2007,0.0
020802060401,2008,0.0
020802060401,2009,0.0
020802060401,2010,0.0
020802060401,2011,0.0
020802060401,2012,0.0
020802060401,2013,0.0
020802060401,2014,0.0
020802060401,2015,0.0
020802060401,2016,0.0
020802060401,2017,0.0
020802060401,2018,0.0
020802060401,2019,0.0
020802060401,2020,0.0
020802060402,2000,0.0
020802060402,2001,0.0
020802060402,2002,0.0
020802060402,2003,0.0
020802060402,2004,0.0
020802060402,2005,0.0
020802060402,2006,0.0
020802060402,2007,0.0
020802060402,2008,0.0
020802060402,2009,0.0
020802060402,2010,0.0
020802060402,2011,0.0
020802060402,2012,0.0
020802060402,2013,0.0
020802060402,2014,0.0
020802060402,2015,0.0
020802060402,2016,0.0
020802060402,2017,0.0
020802060402,2018,0.0
020802060402,2019,0.0
020802060402,2020,0.0
020802060403,2000,0.0
020802060403,2001,0.0
020802060403,2002,0.0
020802060403,2003,0.0
020802060403,2004,0.0
020802060403,2005,0.0
020802060403,2006,0.0
020802060403,2007,0.0
020802060403,2008,0.0
020802060403,2009,0.0
020802060403,2010,0.0
020802060403,2011,0.0
020802060403,2012,0.0
020802060403,2013,0.0
020802060403,2014,0.0
020802060403,2015,0.0
020802060403,2016,0.0
020802060403,2017,0.0
020802060403,2018,0.0
020802060403,2019,0.0
020802060403,2020,0.0
020802060501,2000,0.0
020802060501,2001,0.0
020802060501,2002,0.0
020802060501,2003,0.0
